   1577 SPIDER-MAN/PETER PARKER
     84 LIGHTSPEED/JULIE POW
     84 COUNTERWEIGHT/JACK P
     84 APOCALYPSE/EN SABAH
     83 WARLOCK II/ADAM WARL
     83 GARGOYLE II/ISAAC CH
     82 SILVER SABLE
     82 MANDARIN
     82 "HARKNESS
     82 "ALRAUNE
     81 MS. MARVEL II/SHARON
     80 SKIN/ANGELO ESPINOSA
     80 DRAX/ARTHUR DOUGLAS
     79 HUSK/PAIGE GUTHRIE
     79 CHAMBER/JONOTHON STA
     78 SCREAMING MIMI/MELIS
     78 DIAMONDBACK II/RACHE
     77 "JACKSON
     76 "ROSENTHAL
     75 VENOM/EDDIE BROCK
     74 NOVA II/FRANKIE RAYE
     74 ANCIENT ONE
     74 "WINGFOOT
     74 "QUARTERMAIN
     73 NIGHTMARE/EDVARD HAB
     73 MARROW/SARAH
     73 "POWELL
     72 WIZARD/BENTLEY WITTM
     72 STARSHINE II/BRANDY
     72 LIZARD/DR. CURTIS CO
     72 HELA [ASGARDIAN]
     72 "PIERCE
     72 "BROWN
     71 SYNCH/EVERETT THOMAS
     71 MAKKARI/MIKE KHARY/I
     71 MAGMA/AMARA AQUILLA/
     71 HOWARD THE DUCK
     71 CALIBAN/
     71 BLACK KING/SEBASTIAN
     71 ABSORBING MAN/CARL C
     71 "WOLFE
     70 GUARDIAN/JAMES MACDO
     70 "TILBY
     69 MORBIUS/DR. MICHAEL
     69 HOBGOBLIN V/JASON PH
     69 CITIZEN V II/HELMUT
     69 "MADDICKS
     68 LEADER/SAM STERNS
     67 JUGGERNAUT/CAIN MARK
     67 DORMAMMU
     67 DEADPOOL/JACK/WADE W
     66 ULTRON
     66 LONGSHOT
     66 DORMA [ATLANTEAN]
     66 DARKHAWK/CHRIS POWEL
     65 PENANCE/MONET ST. CR
     65 MULTIPLE MAN/JAMES A
     65 FIXER II/PAUL NORBER
     65 "CUSHING
     64 STRONG GUY/GUIDO CAR
     64 MOLE MAN/HARVEY RUPE
     64 KLAW/ULYSSES KLAW
     63 WHIZZER/ROBERT L. FR
     63 PYRO/ALLERDYCE JOHNN
     63 "LUBENSKI
     63 "ERWIN
     63 "BLAKE
     62 SUNFIRE/SHIRO YOSHID
     62 LIVING LIGHTNING/MIG
     62 "GREY
     61 SHATTERSTAR II/GAVEE
     61 "O'BRIEN
     60 SNOWBIRD/NARYA/ANNE
     60 RINTRAH
     60 LEECH
     60 "WISDOM
     60 "STUART
     59 MACHINE MAN/X-51
     58 WILD CHILD/KYLE GIBN
     58 TRAPSTER/PETER PETRU
     58 THUNDERBALL/DR. ELIO
     58 SKIDS/SALLY BLEVINS
     58 RHINO
     58 RAGE/ELVIN DARYL HAL
     58 MADAME MASQUE/GIULIE
     58 KARMA/XI'AN COY MANH
     58 DAYTRIPPER/AMANDA SE
     57 TALISMAN II/ELIZABET
     57 MAXIMUS [INHUMAN]
     57 FIREFIST/RUSTY COLLI
     57 ELECTRO/MAX DILLON
     57 "CABE
     56 WRECKER III/DIRK GAR
     56 VULTURE/ADRIAN TOOME
     56 PUPPET MASTER/PHILLI
     56 BLACK GOLIATH/DR. WI
     56 "WILSON
     56 "PETROVITCH
     55 TOAD/MORTIMER TOYNBE
     55 THENA
     55 PHOENIX II
     55 JOCASTA
     55 JACK OF HEARTS/JACK
     55 IKARIS/IKE HARRIS [E
     55 "RIDER
     54 TOPAZ
     54 MANTIS/? BRANDT
     54 BARON MORDO/KARL MOR
     54 "MERCADO
     54 "CHANG
     53 "BALDWIN
     52 STINGRAY/DR. WALTER
     52 CORSAIR
     52 AVALANCHE/DOMINIC PE
     52 "VAN HELSING
     52 "LANG
     51 VIPER II
     51 MASTER MOLD II
     51 COBRA/KLAUS VORHEES
     51 BETA RAY BILL
     51 "STEELE
     51 "LEWIS
     51 "GLENN
     50 MISTER HYDE/CALVIN Z
     50 M
     50 CALLISTO
     50 BLAQUESMITH
     50 "SLOAN
     50 "GAMBONNO
     49 SUPREME INTELLIGENCE
     49 PERSUASION/KARA KILL
     49 MYSTERIO/QUENTIN BEC
     49 JOLT/HALLIE TAKAHAMA
     49 FU MANCHU
     49 DIAMOND LIL/LILLIAN
     49 CAPTAIN MARVEL III/G
     49 BARON STRUCKER/WOLFG
     49 "STRUCKER
     48 TURBO II (A)/MICHIKO
     48 THINKER
     48 SWORDSMAN/JACQUES DU
     48 FIRELORD/PYREUS KRIL
     48 BEYONDER
     48 ATTUMA
     48 "SOUTHERN
     48 "LYNNE
     48 "BRIDGE
     47 KAINE
     47 BUCKY/BUCKY BARNES
     47 "WOO
     47 "MCCABE
     47 "MASON
     47 "GRIFFITH
     46 TORO/TOM RAYMOND
     46 TOMBSTONE/LONNIE THO
     46 TIGER SHARK/TODD ARL
     46 SUPER SKRULL/KL'RT
     46 SPIRAL
     46 SILHOUETTE
     46 PIP/PRINCE GOFERN
     46 LUNA/LUNA MAXIMOFF [
     46 DARKSTAR/LAYNIA SERG
     45 ULIK
     45 TITANIA II/MARY SKEE
     45 JACKAL/MILES WARREN
     45 CONSTRICTOR/FRANK PA
     45 CHAMELEON/DMITRI SME
     45 ABOMINATION/EMIL BLO
     45 "WHITMAN
     45 "WALTERS
     45 "SWITZLER
     45 "MERRYWEATHER
     45 "DIAMOND
     45 "BLAZE
     45 "BANNON
     44 ZEUS
     44 SELENE
     44 SCHEMER/RICHARD FISK
     44 PILEDRIVER II/BRIAN
     44 LORELEI II/MELODI [A
     44 HYPERION
     44 ETERNITY/ADAM QADMON
     44 BULLDOZER/HENRY CAMP
     44 "THOMAS
     44 "TAYLOR
     44 "STONE
     43 WIDGET
     43 "AUSTIN
     42 KRISTOFF/KRISTOFF VE
     42 HAMMERHEAD
     42 GAMORA
     42 ELEKTRA/ELEKTRA NATC
     42 DESTINY II/IRENE ADL
     42 DEATH
     42 BOOMERANG/FRED MYERS
     42 BLADE/
     42 ARRANGER/
     42 "CONNORS
     41 MR. SINISTER/NATHAN
     41 MODOK/GEORGE TARLETO
     41 HYDROMAN/MORRIE BENC
     41 GATEWAY
     41 DR. SPECTRUM/JOSEPH
     41 DEATHBIRD [SHI'AR]
     41 BULLSEYE II/BENJAMIN
     41 "TOWER
     41 "RAVEN
     41 "HAMMER
     41 "COWEN
     40 FRIGGA
     40 FORGOTTEN ONE/GILGAM
     40 EXECUTIONER II/SKURG
     40 DEATHLOK III/MICHAEL
     40 "STANKOWICZ
     40 "LANDERS
     40 "HARKER
     40 "COLLINS
     40 "BALLANTINE
     39 WHIZZER II/STANLEY S
     39 SPITFIRE/LADY JACQUE
     39 MASTERMIND/JASON WYN
     39 KRO [DEVIANT]
     39 HILDEGARDE [ASGARDIA
     39 FIREBIRD/BONITA JUAR
     39 COLLECTOR/TANELEER T
     39 BATROC/GEORGES BATRO
     39 "SAXON
     39 "MASTERSON
     39 "FROST
     39 "CLARK
     39 "BYRD
     38 WHIPLASH/MARK SCARLO
     38 TYGER TIGER/JESSAN H
     38 PALADIN/PAUL DENNIS
     38 KRAVEN THE HUNTER/SE
     38 DESTROYER III
     38 CROSSBONES/BROCK BIN
     38 CHARCOAL/CHARLIE BUR
     38 "RUSSELL
     38 "HUNTER
     38 "DEWOLFF
     38 "DAMIAN
     37 YELLOW CLAW/TZING JA
     37 TYPHOID MARY/MARY ME
     37 RAZA LONGKNIFE
     37 MARRINA/MARRINA SMAL
     37 MAM'SELLE HEPZIBAH
     37 DEMOLITION MAN/DENNI
     37 CH'OD
     37 BROTHER VOODOO/DANIE
     37 BEDLAM/JESSE AARONSO
     37 ANNIHILUS
     37 "ZARRKO
     37 "TANAKA
     37 "KELLY
     36 WHITE TIGER/HECTOR A
     36 RED GUARDIAN III/DR.
     36 PUMA/THOMAS FIREHEAR
     36 MAD DOG/COLONEL BUZZ
     36 FERAL/MARIA CALLASAN
     36 CITIZEN V III/DALLAS
     36 BLACK MAMBA/TANYA SE
     36 BATTLESTAR/LEMAR HOS
     36 "SCARFE
     36 "HODGE
     36 "ALEXANDER
     36 "ADAMS
     35 WHIRLWIND/DAVID CANN
     35 TRIATHLON/DELROY GAR
     35 SHA SHAN
     35 S'YM
     35 PRINCESS PYTHON/ZELD
     35 MOLECULE MAN/OWEN RE
     35 JOSEPH
     35 IMPOSSIBLE MAN
     35 FRANKENSTEIN MONSTER
     35 COPYCAT/VANESSA
     35 BOX/ROGER BOCHS
     35 ANALYZER
     35 "RORY
     35 "PALERMO
     35 "MUGGINS
     35 "MEACHUM
     35 "KATZENBERG
     34 TESSA
     34 RINGMASTER/MAYNARD T
     34 MENTOR/ALARS [ETERNA
     34 MAN-BEAST
     34 "KAFKA
     34 "CHORD
     33 VIBRAXAS/N'KANO
     33 UMAR
     33 TYRANNUS
     33 THUNDRA
     33 SILVERMANE/SILVIO MA
     33 SHROUD/MAXIMILLIAN Q
     33 SAURON/DR. KARL LYKO
     33 PLUTO [OLYMPIAN]
     33 PATHWAY/LAURA DEAN
     33 GLADIATOR II
     33 BLACK TOM CASSIDY
     33 ANACONDA/BLANCHE SIT
     33 "KANE
     33 "FAIRMONT
     32 TANA NILE
     32 STRANGER
     32 SILVER SAMURAI/KENYU
     32 SATAN/MARDU KURIOS
     32 RONAN THE ACCUSER [K
     32 PLANTMAN/SAM SMITHER
     32 KISMET/J'RIDIA STARD
     32 HOBGOBLIN II/RODERIC
     32 DRAGON MAN
     32 CENTURY
     32 BLOODAXE/JACKIE LUKU
     32 ARCANNA/ARCANNA JONE
     32 ARAGORN
     32 "NEWELL
     32 "HOGARTH
     32 "CANTOR
     31 TORPEDO III/BROCK JO
     31 SPHINX
     31 SPEEDBALL II/DARRION
     31 PSI-LORD/FRANKLIN BE
     31 PROWLER/HOBIE BROWN
     31 MAYHEM/DET. BRIGID O
     31 MANIKIN/DR. WHITMAN
     31 KRANG [ATLANTEAN]
     31 BLOODSTORM | MUTANT
     31 ASP II/CLEO
     31 "TRAINER
     31 "MARRS(-PAYNE)
     31 "KRAMER
     31 "ELLIS
     31 "BENTLEY
     30 SURTUR
     30 STRYFE
     30 KARKAS [DEVIANT]
     30 GRIM REAPER/ERIC WIL
     30 GLADIATOR/MELVIN POT
     30 EBONY
     30 DARK BEAST/HENRY MCC
     30 "TEMPLE
     30 "RODGERS
     30 "REYES
     30 "MACKENZIE
     30 "LUMPKIN
     30 "DELGADO
     30 "CRAWLEY
     30 "BLESSING
     29 VENUS/APHRODITE/VICT
     29 VANGUARD/NICOLAI KRY
     29 SHALLA BAL II
     29 REJECT/RAN-SAK [DEVI
     29 RAVONNA LEXUS RENSLA
     29 PLUNDERER/LORD EDGAR
     29 NETWORK NINA
     29 LLYRA/LLYRA MORRIS
     29 LEGION II/DAVID HALL
     29 LADY LARK/LINDA LEWI
     29 LADY DEATHSTRIKE/YUR
     29 ICE-MAN | MUTANT X-V
     29 GHAUR [DEVIANT]
     29 DIABLO/ESTEBAN DE AB
     29 CARGIL/JOANNA CARGIL
     29 BRUTE | MUTANT X-VER
     29 BOVA
     29 ARES [GREEK GOD]
     29 "YASHIDA
     29 "RYKER
     29 "NEVILLE
     29 "MOREAU
     29 "DRUMM
     29 "CHENEY
     28 SCORPION/MACDONALD G
     28 ROCK/SAMUEL JOHN ROC
     28 POWER PRINCESS/ZARDA
     28 OWL/LELAND OWLSLEY
     28 NEBULA
     28 MASQUE
     28 HILDY [ASGARDIAN]
     28 GOBLYN
     28 FOREIGNER/RAFAEL BAS
     28 ARCADE/
     28 "SHERIDAN
     28 "LE FEY
     28 "IONELLO
     28 "CORBEAU
     28 "CARPENTER
     28 "ALVAREZ
     27 SPIDER-MAN III/MARTH
     27 SHARD
     27 PSYCHO-MAN
     27 LIBRA/GUSTAV BRANDT
     27 GREY GARGOYLE/PAUL P
     27 DEVIL-SLAYER/ERIC SI
     27 CRIMSON DYNAMO V/DIM
     27 CARNAGE/CLETUS KASAD
     27 ANDROMEDA/ANDROMEDA
     27 "YIN
     27 "DOLAN
     27 "COUNT NEFARIA
     27 "CORD
     27 "BAZIN
     26 VERMIN/EDWARD WHELAN
     26 ULYSSES II
     26 SHOCKER/HERMAN SCHUL
     26 RED GHOST/IVAN KRAGO
     26 MISS AMERICA/MADELIN
     26 ISAAC
     26 EGO
     26 DEATHCRY [SHI'AR]
     26 CLOWN/CRAFTY ELIOT F
     26 CLOUD
     26 BRIGHTWIND
     26 "ZIMMER
     26 "SUN
     26 "SPAULDING
     26 "SMYTHE
     26 "SIKORSKY
     26 "SAPRISTI
     26 "ROTH
     26 "RAMIREZ
     26 "O'BREEN
     26 "KING
     26 "KETCH
     26 "COY
     25 YUKIO
     25 WINDSHEAR/COLIN ASHW
     25 TASKMASTER
     25 STILT-MAN/WILBUR DAY
     25 SLEEPWALKER
     25 SCANNER II
     25 PEATOR
     25 HINDSIGHT LAD/CARLTO
     25 DEATHLOK/COLONEL LUT
     25 "WHYTE
     25 "RANSOME
     25 "HOPKINS
     24 ZARAN/MAXIMILLIAN ZA
     24 WOLVERINE SKRULL
     24 VANISHER
     24 TURK
     24 SHIP
     24 SETH II
     24 SENTINELS
     24 ROMA
     24 MOTHER NIGHT/SUSAN S
     24 MIMIC/CALVIN RANKIN
     24 MIKHLO
     24 MAVERICK/CHRISTOPHER
     24 MASTER/ESHU
     24 MAGUS
     24 IGOR
     24 GRAVITON/FRANK HALL
     24 DEVLOR
     24 D'SPAYRE
     24 CANNONBALL/JACK PULV
     24 BOLT II/CHRIS BRADLE
     24 BIG MAN/FREDERICK FO
     24 ARON [WATCHER]
     24 "VOGHT
     24 "ROYCE
     24 "NORTH
     24 "MARTINELLI
     24 "FORRESTER
     23 ZURAS
     23 WHIZZER III/JAMES SA
     23 VOLCANA/MARSHA ROSEN
     23 THOR II/ROGER RED NO
     23 SABRA/RUTH BAT-SERAP
     23 RADIOACTIVE MAN/DR.
     23 OZYMANDIAS
     23 MIDNIGHT III/JEFFREY
     23 MELTER/BRUNO HORGAN
     23 MASTER KHAN/TYRONE K
     23 JACK O'LANTERN II/MA
     23 HUNTARA/MARY ELIZABE
     23 BLASTAAR
     23 ANGAR THE SCREAMER/D
     23 "STARK
     23 "RUIZ
     23 "KILLMONGER
     23 "HUXLEY
     23 "FUJIKAWA
     23 "CORTEZ
     22 UNUS THE UNTOUCHABLE
     22 TERRAX II/TYROS
     22 SWORDSMAN III/PHILIP
     22 ROSE IV/JACOB JAKE C
     22 RADIUS/JARED CORBO
     22 N'ASTIRH
     22 MAGGOTT/JAPHETH
     22 KURSE/ALGRIM [ASGARD
     22 KILLRAVEN/JONATHAN R
     22 HECTOR II
     22 GUARDIAN V/JAMES MAC
     22 GRANDMASTER/EN DWI G
     22 EON
     22 DYNA-MITE/ROGER AUBR
     22 CR'REEE
     22 ATALANTA
     22 ARISHEM [CELESTIAL]
     22 "ZAPPER
     22 "STANE
     22 "SONDHEIM
     22 "SHARPE
     22 "PLUNDER
     22 "PEARSON
     22 "LOBO
     22 "HARRIS
     22 "FISK
     22 "CARLISLE
     22 "BUSHKIN
     22 "BERNSTEIN
     21 ZURI
     21 ZEMO/BARON HEINRICH
     21 WITCHFIRE
     21 TITANIUM MAN/BORIS B
     21 SUPER-ADAPTOID/ALESS
     21 SHADOW KING/AMAHL FA
     21 OMEGA RED/ARKADY ROS
     21 MURMUR II/ARLETTE TR
     21 MOJO
     21 MESMERO
     21 MAN-KILLER/KATRINA L
     21 LIVING MONOLITH/AHME
     21 GIDEON
     21 FLEX/ADRIAN CORBO
     21 EXPEDITER II/ZOE CUL
     21 DR. OCTOPUS II/CAROL
     21 CRIMSON COWL II/
     21 CRIMSON COMMANDO/FRA
     21 BUTCH
     21 AQUARIAN/WUNDARR
     21 "ZOLA
     21 "SUEE
     21 "RASPUTIN
     21 "NALES
     21 "MARTIN
     21 "LACOSTE
     21 "KALE
     21 "BOWEN
     21 "ARCHER
     20 UNION JACK II/BRIAN
     20 SIDEWINDER/SETH VOEL
     20 RECORDER II
     20 QUEEN DIVINE JUSTICE
     20 PORCUPINE/ALEX GENTR
     20 ORKA
     20 NIGHTSHADE/TILDA
     20 MOONBOY
     20 MANGOG
     20 MADAME WEB/CASSANDRA
     20 M'SHULLA
     20 LIVING LASER/ARTHUR
     20 KOFI [KYMELLIAN]
     20 GOLDEN ARCHER II/WYA
     20 GAMMENON [CELESTIAL]
     20 FOOLKILLER II/GREG S
     20 FIN FANG FOOM/MIDGAR
     20 EXODUS/BENNET DUPARI
     20 EGGHEAD/PROF. ELIHAS
     20 DEVIL DINOSAUR
     20 CAT III/SHEN KUEI
     20 AJAX
     20 "SZARDOS
     20 "ST. CROIX
     20 "REESE
     20 "RAHN
     20 "KLEINSTOCK
     20 "GILBERT
     20 "FITZROY
     20 "CHEKOV
     20 "CASSADA
     20 "CARBONE
     20 "BEACH
     19 ZERO
     19 WHITE TIGER II/
     19 WAR/ABRAHAM LINCOLN
     19 THUNDERBIRD III/NEAL
     19 SPIDERCIDE
     19 SHRIEK/SANDRA DEEL/F
     19 ROCKET RACER/ROBERT
     19 RED WOLF III/WILL TA
     19 PARIS
     19 OVERMIND/GROM
     19 OLD SKULL
     19 MOLTEN MAN/MARK RAXT
     19 MENTALLO
     19 MALEKITH/MALCOLM KEI
     19 LIVING TRIBUNAL
     19 LILITH/ANGEL O'HARA/
     19 IRONCLAD
     19 HULK III/BRUCE BANNE
     19 GAUNTLET
     19 GAFF/SIDNEY E. LEVIN
     19 BONEBREAKER/
     19 ARCLIGHT/PHILLIPA SO
     19 "SHINCHUKO
     19 "SHAW
     19 "RASSITANO
     19 "MCCOY
     19 "MARRS
     19 "KORVAC
     19 "FRIEDLANDER
     19 "CREED
     19 "CORRIGAN
     19 "BURKE
     19 "BOUDREAUX
     19 "AYALA
     18 VECTOR
     18 VAPOR
     18 UNION JACK/LORD MONT
     18 TOM THUMB/THOMAS THO
     18 SIKORSKY
     18 SERGEI
     18 REDEEMER/CRAIG SAUND
     18 RATTLER
     18 ORACLE/LADY SIBYL
     18 ONSLAUGHT II
     18 NIGHTHAWK/KYLE RICHM
     18 NEKRA/ADRIENNE HATRO
     18 MR. JIP
     18 MORGAN
     18 MOONHUNTER/ZACK MOON
     18 MISS LOCKE
     18 MASTER MAN/WILHELM L
     18 KRISTA
     18 FOREARM
     18 EMPLATE/MARIUS ST. C
     18 EMPATH/MANUEL ALFONS
     18 ELYSIUS
     18 COTTONMOUTH II
     18 CONTROLLER/BASIL SAN
     18 CERISE II [SHI'AR]
     18 CAPTAIN HAWK
     18 BROTHERS GRIMM II/BA
     18 BLOODSTONE/ULYSSES B
     18 BLACK KNIGHT/SIR PER
     18 AMPHIBIUS
     18 "TRASK
     18 "TORK
     18 "ST. LAWRENCE
     18 "SIMON
     18 "RAMBEAU
     18 "PARETSKY
     18 "NEWMARK
     18 "MANH
     18 "LEE
     18 "LANE
     18 "JAYE-FIRESTONE
     18 "HUNT
     18 "HALLER
     18 "CORSI
     18 "CLARKE
     18 "CAMPBELL
     17 ZOMBIE/SIMON GARTH
     17 ZIRAN
     17 YELLOWJACKET III/HEN
     17 WATER WIZARD/PETE
     17 URSA MAJOR/MIKHAIL U
     17 THRENODY
     17 TAROT/MARIE-ANGE COL
     17 TAI II
     17 STUNT-MASTER/GEORGE
     17 STUNNER/ANGELINA BRA
     17 SHAPE
     17 ROULETTE II/JENNY ST
     17 PUFF ADDER
     17 PIPELINE/CORMICK GRI
     17 OKOYE
     17 MODRED THE MYSTIC
     17 MEANY
     17 MALICE V/NAKIA
     17 MAGNUS
     17 IRON MAN V/TEEN TONY
     17 ELSIE DEE
     17 EENY
     17 DR. SUN
     17 DOLLAR BILL
     17 CONTEMPLATOR/TATH KI
     17 BUZZ
     17 BLACKWING/JOSEPH MAN
     17 BEREET
     17 ALBERT
     17 "TSURAYABA
     17 "STARR
     17 "RAM
     17 "O'CONNELL
     17 "MORGAN
     17 "MCKEEVER
     17 "MAXWELL
     17 "MALUS
     17 "LOCKLIN
     17 "LEBEAU
     17 "GRIMM
     17 "GATOR
     17 "FREEMAN
     17 "FORTUNE
     17 "FARREL
     17 "DARE
     17 "CARRADINE
     17 "AVRIL
     17 "ASTROVIK
     16 ZIRA
     16 X-RAY
     16 WILDSIDE
     16 WIDE LOAD ANNIE/ANNI
     16 WEAPON X II/GARRISON
     16 VERTIGO II
     16 TYR
     16 TWO-GUN KID
     16 TONGAH
     16 TINKERER
     16 SUPER SABRE/MARTIN F
     16 SUNDER
     16 STELLARIS/LEAH PRINC
     16 SLUG/ULYSSES X. LUGM
     16 SCOURGE
     16 POPPA WHEELER
     16 OMEGA II
     16 O'DONNELL
     16 MANBOT/BERNIE LACHEN
     16 MALICE IV
     16 LORD CHAOS
     16 HERMOD [ASGARDIAN]
     16 HAROKIN [ASGARDIAN]
     16 GRIFFIN II/JOHNNY HO
     16 GAUNT/MENDEL STROMM
     16 FAMINE/AUTUMN ROLFSO
     16 FALLEN | MUTANT X-VE
     16 DIAMONDHEAD/DYKER
     16 DEATHWATCH/STEPHAN L
     16 BUSHWACKER/CARL
     16 BELASCO
     16 BAMBI
     16 ARKON
     16 AIREO/AEOLUS [INHUMA
     16 "WORTHINGTON
     16 "TYGER
     16 "STERMAN
